title,description,severity
[preferences] Editors prefs page should have keywords 'restore' and 'state',[preferences] Editors prefs page should have keywords 'restore' and 'state',Low
Missing since tags in schemas,Missing since tags in schemas,Medium
Progress view doesn't covey job state well,Progress view doesn't covey job state well,Medium
Remove Tomcat from the builds,Remove Tomcat from the builds,Medium
[misc] jface.text has incompatible manifest,[misc] jface.text has incompatible manifest,Medium
Spell-checking causes errors if the JDT is not present,Spell-checking causes errors if the JDT is not present,Low
Replace with... doesn't replace all selected projects,Replace with... doesn't replace all selected projects,Medium
[Webapp] Missing toc files affects display of siblings,[Webapp] Missing toc files affects display of siblings,Medium
[Dialogs] TypeFilteringDialog: label has wrong case,[Dialogs] TypeFilteringDialog: label has wrong case,Medium
[Help] Infocenter not disabling search scope correctly,[Help] Infocenter not disabling search scope correctly,Medium
[JFace]Can DeviceResourceException be a RuntimeException?,[JFace]Can DeviceResourceException be a RuntimeException?,Medium
Find/Replace dialog beeps too much when typing in incremental mode,Find/Replace dialog beeps too much when typing in incremental mode,Medium
Create JUnit test suite to validate links in tocs,Create JUnit test suite to validate links in tocs,Medium
[Help] Recycled preference page id for content preference page,[Help] Recycled preference page id for content preference page,Medium
TVT33:TCT439: IW: English menu items replacing Hebrew ones,TVT33:TCT439: IW: English menu items replacing Hebrew ones,Medium
[Help] Search highlight button tooltip is inconsistent,[Help] Search highlight button tooltip is inconsistent,Medium
Typo in cheatsheet's search participant name,Typo in cheatsheet's search participant name,Medium
[CommonNavigator] Problem with selection causes view to fail to load,[CommonNavigator] Problem with selection causes view to fail to load,High
[Help] StringUtil is no longer used or needed,[Help] StringUtil is no longer used or needed,Medium
Project Explorer - Sort order differs from Navigator,Project Explorer - Sort order differs from Navigator,Medium
[CommonNavigator] Project Explorer duplicates Working Set actions,[CommonNavigator] Project Explorer duplicates Working Set actions,Medium
[Common Navigator] Plugin activation on dispose,[Common Navigator] Plugin activation on dispose,Medium
[CommonNavigator] DND allows to Drop Projects on Projects but shows error,[CommonNavigator] DND allows to Drop Projects on Projects but shows error,Medium
[Help] noexec flag no longer works with standalone help & infocenter,[Help] noexec flag no longer works with standalone help & infocenter,High
web browser preference page text does not flow,web browser preference page text does not flow,Low
[Help] Remove references to loadBookAtOnceLimit from documentation,[Help] Remove references to loadBookAtOnceLimit from documentation,Low
[Help] Uncaught exceptions - Permission denied to get property Window.xxx,[Help] Uncaught exceptions - Permission denied to get property Window.xxx,Medium
Hardcoded links to earlier 3.3Mx New & Noteworthy documents in archive broken,Hardcoded links to earlier 3.3Mx New & Noteworthy documents in archive broken,Medium
Snippet132 using drawString incorrectly,Snippet132 using drawString incorrectly,Medium
Outdated Run Toolbar tool tip,Outdated Run Toolbar tool tip,Medium
Link widget renders mnemonics on the Mac,Link widget renders mnemonics on the Mac,Medium
strange IDE behavior,strange IDE behavior,Medium
shortenText() in CTabItem may cause globalization problems,shortenText() in CTabItem may cause globalization problems,Medium
[Undo] - test cases need to stress test API when action handlers are listening,[Undo] - test cases need to stress test API when action handlers are listening,Medium
[Snippets] Snippet010OwnerDraw consumes 100% of CPU,[Snippets] Snippet010OwnerDraw consumes 100% of CPU,Medium
[Snippet] Demonstrate alternating row-colors for TableViewers,[Snippet] Demonstrate alternating row-colors for TableViewers,Medium
NPE exception when creating CVS synchronization for Window working set,NPE exception when creating CVS synchronization for Window working set,Medium
NPE Show In->History View on class file,NPE Show In->History View on class file,High
TVT33:TCT318: Apostrophe missing in Compare with Local history,TVT33:TCT318: Apostrophe missing in Compare with Local history,Medium
No error dialog when branching with an existing branch name,No error dialog when branching with an existing branch name,Medium
NPE when opening History for remote file,NPE when opening History for remote file,High
NPE when closign a project while CVS History is open for a file in it,NPE when closign a project while CVS History is open for a file in it,Medium
TVT33:TCT436: IW: Fingerprint filed is RTL and garbled,TVT33:TCT436: IW: Fingerprint filed is RTL and garbled,Low
SaveableCompareEditorInput.prepareInput throws NPE when prepareCompareInput returns null,SaveableCompareEditorInput.prepareInput throws NPE when prepareCompareInput returns null,Medium
Multi-project patch not using Workspace flag,Multi-project patch not using Workspace flag,Medium
Could not acquire children from extension: org.eclipse.team.ui.resourceContent,Could not acquire children from extension: org.eclipse.team.ui.resourceContent,Medium
calling dispose on LaunchConfigurationTabGroupWrapper can get a NullPointerException,calling dispose on LaunchConfigurationTabGroupWrapper can get a NullPointerException,Medium
NumberFormatException when checking out project from specific date & time,NumberFormatException when checking out project from specific date & time,Medium
org.eclipse.core.net pollutes project-specific preferences,org.eclipse.core.net pollutes project-specific preferences,High
TeamAction leaks editors via targetPart,TeamAction leaks editors via targetPart,Medium
infinite loop in console,infinite loop in console,Medium
Named HTML entities cause errors in help viewer if doctype is xhtml,Named HTML entities cause errors in help viewer if doctype is xhtml,High
44% of time closing projects spent in LaunchManager#resourceChanged,44% of time closing projects spent in LaunchManager#resourceChanged,Medium
NPE when attempt to set build location to workspace_loc:<Any rse location>,NPE when attempt to set build location to workspace_loc:<Any rse location>,Medium
NLS:French labels for Search and for Search scope need a SPACE character before the colon character,NLS:French labels for Search and for Search scope need a SPACE character before the colon character,Medium
Concurrent modification exception,Concurrent modification exception,Medium
Invalid thread access starting DebugUIPlugin,Invalid thread access starting DebugUIPlugin,Critical
Project import fails on version controlled .project,Project import fails on version controlled .project,Medium
LabelUpdate ignores colors for columns with numbers > 0,LabelUpdate ignores colors for columns with numbers > 0,Medium
"JobManager is missing aboutToRelease call, causing UI thead to be interrupted","JobManager is missing aboutToRelease call, causing UI thead to be interrupted",Medium
Test Cases are Broken,Test Cases are Broken,Critical
ProjectionViewer: Toggling between segmented and projection mode can fail,ProjectionViewer: Toggling between segmented and projection mode can fail,Medium
Some run menu actions are missing help context ids,Some run menu actions are missing help context ids,Medium
Empty Team category in Customize Perspective->Shortcuts,Empty Team category in Customize Perspective->Shortcuts,Medium
[History View] Add help to Sync Preferences,[History View] Add help to Sync Preferences,Medium
Browser leaks due to COM objects,Browser leaks due to COM objects,High
"inconsistent action names for ""Open Run/Debug/Profile Dialog...""","inconsistent action names for ""Open Run/Debug/Profile Dialog...""",Medium
API doc wrong for org.eclipse.jface.text.TextUtilities,API doc wrong for org.eclipse.jface.text.TextUtilities,Low
SWT for 3.3 not yet released,SWT for 3.3 not yet released,Medium
Test failure in I20070710,Test failure in I20070710,Medium
NPE when opening Keys preference page,NPE when opening Keys preference page,Critical
[RCP] Compare should not add Team menu item,[RCP] Compare should not add Team menu item,Medium
DBCS3.3: strikeout rendering issue on WindowsVista,DBCS3.3: strikeout rendering issue on WindowsVista,Medium
VM crash opening browser widget with much html,VM crash opening browser widget with much html,Medium
Excel opens as external editor,Excel opens as external editor,Medium
StyledText: horizontal scrollbar doesn't handle indent,StyledText: horizontal scrollbar doesn't handle indent,High
[Themes] Incorrect use of IThemeRegistry.HierarchyComparator in ThemeElementHelper.addDefaulted(...),[Themes] Incorrect use of IThemeRegistry.HierarchyComparator in ThemeElementHelper.addDefaulted(...),Medium
auto shutdown,auto shutdown,Medium
[DataBinding] AbstractStringToNumberValidator caches message across validation requests,[DataBinding] AbstractStringToNumberValidator caches message across validation requests,Medium
Wrong labels for builds on the download page,Wrong labels for builds on the download page,Medium
SWT Welcome RSS Feed doesn't Work,SWT Welcome RSS Feed doesn't Work,Medium
[Intro] SWT Welcome RSS Feed doesn't Work,[Intro] SWT Welcome RSS Feed doesn't Work,Medium
ExpandItem (of the ExpandBar) returns wrong header height in Gnome (Debian Linux),ExpandItem (of the ExpandBar) returns wrong header height in Gnome (Debian Linux),Medium
Incorrect use of IThemeRegistry.HierarchyComparator in ThemeElementHelper.addDefaulted(...),Incorrect use of IThemeRegistry.HierarchyComparator in ThemeElementHelper.addDefaulted(...),Medium
Cannot commit due NPE in CommitWizardCommitPage,Cannot commit due NPE in CommitWizardCommitPage,Critical
Multiple versions of pde.core are tagged in basebuilder,Multiple versions of pde.core are tagged in basebuilder,Medium
Enable jdt.apt.pluggable.tests,Enable jdt.apt.pluggable.tests,Medium
Null Display using Display.getCurrent(),Null Display using Display.getCurrent(),High
External Tools Dialog -  JRE not compatible with workspace .class file compatibility: 1.5,External Tools Dialog -  JRE not compatible with workspace .class file compatibility: 1.5,Medium
SubMenu's Accelator keys are not working when the menu is selected using mouse on Linux. works fine on Windows,SubMenu's Accelator keys are not working when the menu is selected using mouse on Linux. works fine on Windows,Medium
Whole word option of Find/Replace dialog bugs when searched text contains spaces.,Whole word option of Find/Replace dialog bugs when searched text contains spaces.,Low
LocalFile seems to break contract of equals() vs. hashCode() on MacOSX,LocalFile seems to break contract of equals() vs. hashCode() on MacOSX,Medium
[WorkbenchLauncher] Null Display using Display.getCurrent(),[WorkbenchLauncher] Null Display using Display.getCurrent(),High
SWT ToolTip does not render Arabian text tooltip correctly on SLED10 Linux,SWT ToolTip does not render Arabian text tooltip correctly on SLED10 Linux,Critical
Debug selection dialogs should subclass AbstractDebugSelectionDialog,Debug selection dialogs should subclass AbstractDebugSelectionDialog,Medium
Eclipse continually freezes,Eclipse continually freezes,Critical
"[browser]Click URL linked to a new window, pop up two browser window","[browser]Click URL linked to a new window, pop up two browser window",Critical
SIGSEGV in Tree#destroyItem(),SIGSEGV in Tree#destroyItem(),Medium
plugin.xml contains wrong reference to icon,plugin.xml contains wrong reference to icon,High
[Repo View] Reimplement Working Set menu,[Repo View] Reimplement Working Set menu,Medium
"Synchronize horizontal scrolling by # characters, not % of longest line","Synchronize horizontal scrolling by # characters, not % of longest line",Medium
Shared library libswt-cairo-gtk-3236.so is missing in SWT for Solaris,Shared library libswt-cairo-gtk-3236.so is missing in SWT for Solaris,Critical
MessageDialog shows a default icon when dialogTitleImage is null in SWT 3.3RC4,MessageDialog shows a default icon when dialogTitleImage is null in SWT 3.3RC4,Medium
"CME during ""Compute launch button tooltip""","CME during ""Compute launch button tooltip""",Medium
[Help] No longer need SocketUtil to find free port - equinox will do it for us,[Help] No longer need SocketUtil to find free port - equinox will do it for us,Low
[Help] In help.base make jetty import optional,[Help] In help.base make jetty import optional,Medium
Schemas for viewer creators wrongly indicate to subclass Viewer,Schemas for viewer creators wrongly indicate to subclass Viewer,High
'Show status line' on open type dialog does not redraw status line,'Show status line' on open type dialog does not redraw status line,Medium
Default connection type while creating a new CVS Repository,Default connection type while creating a new CVS Repository,Low
Item DTD grammar typo in Platform Guide,Item DTD grammar typo in Platform Guide,Low
NullPointerException in WorkbenchBrowserSupport.createBrowser,NullPointerException in WorkbenchBrowserSupport.createBrowser,Medium
Pinned search results disappear,Pinned search results disappear,Medium
unused message: CommitWizard_3,unused message: CommitWizard_3,Medium
Minor typo in IPageLayout,Minor typo in IPageLayout,Medium
"When rename a file in one project, the other file's name is renamed","When rename a file in one project, the other file's name is renamed",Medium
No F1 help for Project Explorer view,No F1 help for Project Explorer view,Medium
Table viewer placed inside  a wizard does not expand vertically when size of the wizard expands,Table viewer placed inside  a wizard does not expand vertically when size of the wizard expands,High
NPE trying to double-click on a warning in the problem view when the corresponding resource is deleted,NPE trying to double-click on a warning in the problem view when the corresponding resource is deleted,Medium
Gdip.Graphics_FillRectangle needs to flip the rect if width < 0 or height < 0,Gdip.Graphics_FillRectangle needs to flip the rect if width < 0 or height < 0,Medium
CCombo does not loose focus when hidden,CCombo does not loose focus when hidden,Medium
ArrayIndexOutOfBounds when initializing GC,ArrayIndexOutOfBounds when initializing GC,Medium
NPE in Display.readImageRef,NPE in Display.readImageRef,Medium
Negative values not displaying with Read-Only style combo.,Negative values not displaying with Read-Only style combo.,Medium
Multiselection with Shifht ARROW_UP/DOWN not working on MAC,Multiselection with Shifht ARROW_UP/DOWN not working on MAC,Medium
NPE in DefaultWatchExpressionModelProxy,NPE in DefaultWatchExpressionModelProxy,Medium
"public Image (Device device, String filename) fails on WinCe","public Image (Device device, String filename) fails on WinCe",Medium
TreeViewer setSelection does not scroll horizontally to show selection,TreeViewer setSelection does not scroll horizontally to show selection,Medium
Wrong search scope  when searching.,Wrong search scope  when searching.,Medium
[Test Harness] FileSystemComparator use timestamp as size,[Test Harness] FileSystemComparator use timestamp as size,Medium
"[find/replace] cannot automatically set ""selected lines"" as scope when selection starts from end of a line","[find/replace] cannot automatically set ""selected lines"" as scope when selection starts from end of a line",Medium
Conflict for 'org.eclipse.team.ui.synchronizeAll' and '....synchronizeLast',Conflict for 'org.eclipse.team.ui.synchronizeAll' and '....synchronizeLast',Medium
Multiple NPEs during Compare,Multiple NPEs during Compare,Medium
"[CVS] ""Switch to another branch or version"" does not work for modified file","[CVS] ""Switch to another branch or version"" does not work for modified file",High
[launching] selection of encoding does twice as much work,[launching] selection of encoding does twice as much work,Medium
Text without delimeters is not wrapped on linux. Works fine on windows.,Text without delimeters is not wrapped on linux. Works fine on windows.,Medium
Layouting and mnemonic issues in new Replace dialog,Layouting and mnemonic issues in new Replace dialog,Low
"[Contextual Help] If the description of a context is empty, an NPE occurs and the dynamic help is not show","[Contextual Help] If the description of a context is empty, an NPE occurs and the dynamic help is not show",Medium
creating TableCursor removes Table from traversal order,creating TableCursor removes Table from traversal order,Medium
update feature versions for 3.4,update feature versions for 3.4,Medium
Deleting launch config from LCD does not remove config,Deleting launch config from LCD does not remove config,Medium
[Snippets] Provide an API similar to ColumnViewerToolTipSupport without new LabelProvider infrastructure,[Snippets] Provide an API similar to ColumnViewerToolTipSupport without new LabelProvider infrastructure,Medium
Problem compiling swt in Solaris 10 x86 (makefile problem),Problem compiling swt in Solaris 10 x86 (makefile problem),Medium
Expression Evaluation Failure with Generics,Expression Evaluation Failure with Generics,Medium
[Help] context xml title attribute is broken,[Help] context xml title attribute is broken,Medium
[Help][Context] Context help often does not show the view name,[Help][Context] Context help often does not show the view name,Medium
SetWindowLongPtrW and GetWindowLongPtrW not support on wince,SetWindowLongPtrW and GetWindowLongPtrW not support on wince,Medium
TableCursor moves curosr to first column unexpectedly,TableCursor moves curosr to first column unexpectedly,Medium
[spell checking] Hiding error markers contributed by other plugins,[spell checking] Hiding error markers contributed by other plugins,Medium
Edition of large files causes UI not to respond,Edition of large files causes UI not to respond,Critical
Inconsistent z-order for ON_TOP shells between win32 and MacOS,Inconsistent z-order for ON_TOP shells between win32 and MacOS,Medium
chkpii error in N20070726-0010,chkpii error in N20070726-0010,Medium
Investigate use of MultiStatus in ResourceTree,Investigate use of MultiStatus in ResourceTree,Medium
Workbench refuses to show Run or Debug dialog,Workbench refuses to show Run or Debug dialog,Medium
[browser] fires duplicate mouse events,[browser] fires duplicate mouse events,High
[Viewers] ColumnViewerEditorDeactivationEvent should hold informations why the editor is deactivated,[Viewers] ColumnViewerEditorDeactivationEvent should hold informations why the editor is deactivated,Medium
[Viewers] Keyboard navigation doesn't work when columns reordered,[Viewers] Keyboard navigation doesn't work when columns reordered,Medium
[Viewers] Open API for Reordered Columns as proposed in 195908,[Viewers] Open API for Reordered Columns as proposed in 195908,Medium
The default text editor does not show the image contributed by the editor input.,The default text editor does not show the image contributed by the editor input.,Medium
Search view's open strategy is broken,Search view's open strategy is broken,Medium
Wrong api doc for org.eclipse.ui.part.PluginTransfer,Wrong api doc for org.eclipse.ui.part.PluginTransfer,Low
Typo in Javadoc of IResource#getProjectRelativePath(),Typo in Javadoc of IResource#getProjectRelativePath(),Low
NPE at org.eclipse.debug.ui.CommonTab.getDefaultSharedConfigLocation,NPE at org.eclipse.debug.ui.CommonTab.getDefaultSharedConfigLocation,Medium
"[SyncView] ""Remove from View"" does not work when compare->with another version action is performed","[SyncView] ""Remove from View"" does not work when compare->with another version action is performed",Medium
Update ISV Workbench doc,Update ISV Workbench doc,Medium
Duplication of sentences in the Coding Conventions,Duplication of sentences in the Coding Conventions,Medium
[DND] FileTransfer disables image feedback,[DND] FileTransfer disables image feedback,Medium
Spinner.getSelection() doesn't return the correct value if it has been updated by typing,Spinner.getSelection() doesn't return the correct value if it has been updated by typing,Medium
Invoking spinner.getSelection() in a modify event causes infinite loop,Invoking spinner.getSelection() in a modify event causes infinite loop,Medium
[TrayDialog] Redundand check,[TrayDialog] Redundand check,Medium
Support IColorProvider/IFontProvider in FilteredItemsSelectionDialog,Support IColorProvider/IFontProvider in FilteredItemsSelectionDialog,Medium
[Help] Filenames in help text don't match screen shots.,[Help] Filenames in help text don't match screen shots.,Medium
NPE debugging ResourceDelta,NPE debugging ResourceDelta,Low
Ascending/descending sorting order in the repo view,Ascending/descending sorting order in the repo view,Medium
Environment tab grows wider on each config selection,Environment tab grows wider on each config selection,Medium
[Tests] Failure on Mac in nightly build,[Tests] Failure on Mac in nightly build,Medium
Detached variable view is not responding when it is opened from another perspective,Detached variable view is not responding when it is opened from another perspective,Medium
EMPTY_STRING constant not used,EMPTY_STRING constant not used,Medium
Problems importing team project set,Problems importing team project set,Medium
[org.eclipse.core.net] non-proxy hosts not correctly updated,[org.eclipse.core.net] non-proxy hosts not correctly updated,Medium
Lines scrambled and different font size in compare,Lines scrambled and different font size in compare,Low
[DataBinding] Test failures in Build N20070726-0010,[DataBinding] Test failures in Build N20070726-0010,Medium
CTabFolder close box should highlight without needing mouse move,CTabFolder close box should highlight without needing mouse move,Medium
Ant Config Selection,Ant Config Selection,Medium
Change ActionContributionItem + CommandContributionItem to use event coordinates,Change ActionContributionItem + CommandContributionItem to use event coordinates,Medium
SWT will crash when VoiceOver feature is turn on,SWT will crash when VoiceOver feature is turn on,Critical
Browser widget now has border,Browser widget now has border,High
Font not set correctly in GC supplied to events of virtual table/tree,Font not set correctly in GC supplied to events of virtual table/tree,Medium
Make delta-pack available for tests,Make delta-pack available for tests,Medium
build page updates for windows x86_64,build page updates for windows x86_64,Medium
[misc] RCP Text broken due to EFS dependency in org.eclipse.workbench.texteditor,[misc] RCP Text broken due to EFS dependency in org.eclipse.workbench.texteditor,High
[Dialogs] Support IColorProvider/IFontProvider in FilteredItemsSelectionDialog,[Dialogs] Support IColorProvider/IFontProvider in FilteredItemsSelectionDialog,Medium
[Snippet] Show how to add items to a TableViewer in from a background thread,[Snippet] Show how to add items to a TableViewer in from a background thread,Medium
CTabFolder code causes Widget is disposed exception,CTabFolder code causes Widget is disposed exception,Critical
add 64-bit windows to regular eclipse build lineup,add 64-bit windows to regular eclipse build lineup,Medium
"""Open a compare editor when comparing a single file"" doesn't seem to work","""Open a compare editor when comparing a single file"" doesn't seem to work",Medium
Combo#cut() does not place deleted text to clipboard,Combo#cut() does not place deleted text to clipboard,Critical
[find/replace] casing in Find/Replace dialog,[find/replace] casing in Find/Replace dialog,Low
[Wizards] Share Project on a folder opens multi-project share wizard,[Wizards] Share Project on a folder opens multi-project share wizard,Medium
"[help] Should use ""serviceSelector"" in servlets extensions","[help] Should use ""serviceSelector"" in servlets extensions",Medium
[Snippet] Show how to update a Viewer in a Long Running Task,[Snippet] Show how to update a Viewer in a Long Running Task,Medium
[find/replace] should auto-trigger content assist for \ in replace,[find/replace] should auto-trigger content assist for \ in replace,Low
move 3.4 builds to compare against 3.3 baseline,move 3.4 builds to compare against 3.3 baseline,Medium
org.eclipse.swt.List is not keyboard-only accessable,org.eclipse.swt.List is not keyboard-only accessable,Medium
Intro display problems -- standby and maximized,Intro display problems -- standby and maximized,Medium
Flag to accommodate new provisioning work,Flag to accommodate new provisioning work,Medium
[Documentation] Dependencies are wrong,[Documentation] Dependencies are wrong,High
[Snippet] Wizard with Long running background thread to fill a TableViewer,[Snippet] Wizard with Long running background thread to fill a TableViewer,Medium
Usability Problem in 'Save and Launch' Dialog,Usability Problem in 'Save and Launch' Dialog,Medium
Check for invalid FileEditorInputs at construction time,Check for invalid FileEditorInputs at construction time,Medium
Result when multiple matches on same line look irritating,Result when multiple matches on same line look irritating,Medium
Search view  becomes unusable after having searched for *.java files in a project,Search view  becomes unusable after having searched for *.java files in a project,Critical
XML declaration appears in help system search results for some XHTML files,XML declaration appears in help system search results for some XHTML files,Medium
[DataBinding] JavaBeanObservableValue may cause NPE when used with ComputedValue,[DataBinding] JavaBeanObservableValue may cause NPE when used with ComputedValue,Medium
Search in files fails when the target working set contains a closed 'Servers' tab,Search in files fails when the target working set contains a closed 'Servers' tab,Medium
Add a table of contents and links to each New & Noteworthy item,Add a table of contents and links to each New & Noteworthy item,Medium
Resources plugin broken due to missing dependency on runtime compatibility,Resources plugin broken due to missing dependency on runtime compatibility,Medium
Changing foreground color on Canvas does not work,Changing foreground color on Canvas does not work,Medium
NPE in FileSystemResourceManager,NPE in FileSystemResourceManager,Medium
Toolbar lays out twice,Toolbar lays out twice,High
MultiPageEditorPart.getAdapter has to work in any thread,MultiPageEditorPart.getAdapter has to work in any thread,High
workbench System.out,workbench System.out,Medium
versioning of org.eclipse.platform.doc.isv in  build I20070814-1100,versioning of org.eclipse.platform.doc.isv in  build I20070814-1100,Medium
NPE in Keys (Legacy) preference page,NPE in Keys (Legacy) preference page,Medium
[Memory View] Memory view does not display memory blocks that do not reference IDebugTarget,[Memory View] Memory view does not display memory blocks that do not reference IDebugTarget,Medium
"Workbench.showPerspective gets NullPointerException, if active page have no perspective.","Workbench.showPerspective gets NullPointerException, if active page have no perspective.",Medium
"Extra entries appear in Keys preference page after pressing ""restore command""","Extra entries appear in Keys preference page after pressing ""restore command""",Medium
Display.getDefault() deadlocks with Display constructor,Display.getDefault() deadlocks with Display constructor,Medium
[DataBinding] ObservablesManager does not dispose model,[DataBinding] ObservablesManager does not dispose model,Medium
setImeInputMode() is not correct with MS-IME2000,setImeInputMode() is not correct with MS-IME2000,Low
auto expand does not work in the asynch tree viewer,auto expand does not work in the asynch tree viewer,Medium
[Databinding] Realm documentation is wrong,[Databinding] Realm documentation is wrong,Medium
[DataBinding] Realm documentation is wrong (3.4),[DataBinding] Realm documentation is wrong (3.4),Medium
Folder containing outgoing change not label decorated,Folder containing outgoing change not label decorated,Medium
Problem highlighting first position of source in debug mode.,Problem highlighting first position of source in debug mode.,Medium
Keybindings on the Mac conflict with reserved OS bindings,Keybindings on the Mac conflict with reserved OS bindings,Medium
[Commands] Slow to close dialogs due to ContextAuthority.sourceChanged triggering multiple menu updates,[Commands] Slow to close dialogs due to ContextAuthority.sourceChanged triggering multiple menu updates,High
RegistryRadioState cannot properly initialize because of NPE,RegistryRadioState cannot properly initialize because of NPE,Medium
Mouse wheel does not fire selection event on Scale,Mouse wheel does not fire selection event on Scale,Medium
[Forms] Selecting links in FormText scrolls unnecessarily,[Forms] Selecting links in FormText scrolls unnecessarily,Medium
MSAA problems on Update Manager UI - Product Configuration Panel,MSAA problems on Update Manager UI - Product Configuration Panel,High
Scale widget freaks out if layout() is called from a selection listener.,Scale widget freaks out if layout() is called from a selection listener.,Medium
[DataBinding] SelectionProviderSingleSelectionObservableValue doesn't remove selectionChangedListener on dispose,[DataBinding] SelectionProviderSingleSelectionObservableValue doesn't remove selectionChangedListener on dispose,Medium
Table.computeSize wrong when table has no columns,Table.computeSize wrong when table has no columns,Medium
[DataBinding] 3.3.1: JavaBeanObservableValue may cause NPE when used with ComputedValue,[DataBinding] 3.3.1: JavaBeanObservableValue may cause NPE when used with ComputedValue,Medium
[DataBinding] Listeners in swt Observables are not removed on dispose,[DataBinding] Listeners in swt Observables are not removed on dispose,Medium
[DataBinding] ComboSingleSelectionObservableValue setValue() does not change selection,[DataBinding] ComboSingleSelectionObservableValue setValue() does not change selection,Medium
Table.setBackground() fails if TableItem.setBackground() was used,Table.setBackground() fails if TableItem.setBackground() was used,High
[JFace] Use logger instead of printStackTrace() in SafeRunnable,[JFace] Use logger instead of printStackTrace() in SafeRunnable,Medium
[DataBinding] support binding to a multi-selection,[DataBinding] support binding to a multi-selection,Medium
"[CommonNavigator] SWTException: ""Widget is disposed"" on closing view","[CommonNavigator] SWTException: ""Widget is disposed"" on closing view",Medium
StatusHandler: Resize the support area when detail is clicked,StatusHandler: Resize the support area when detail is clicked,Medium
Shell.getBounds() wrong when shell is maximized.,Shell.getBounds() wrong when shell is maximized.,Medium
CVSUIPlugin.stop not being called,CVSUIPlugin.stop not being called,Medium
ModelContentProvider uses wrong element to get IElementMementoProvider,ModelContentProvider uses wrong element to get IElementMementoProvider,Medium
reduce duplication of #getAdapter code for viewers,reduce duplication of #getAdapter code for viewers,Medium
Bidi issues with ContainerAndSelectionGroup's containerNameField (in ResourceAndContainerGroup),Bidi issues with ContainerAndSelectionGroup's containerNameField (in ResourceAndContainerGroup),Medium
Error Running Eclipse in XP,Error Running Eclipse in XP,High
Match navigation does not select first match,Match navigation does not select first match,Medium
Search view stepping in fast view mode broken,Search view stepping in fast view mode broken,High
selection on tree is too short,selection on tree is too short,Medium
-showlocation does not work with 3.3RC2,-showlocation does not work with 3.3RC2,Medium
[Viewers] CheckboxCellEditor flips state when tabing from cell to cell,[Viewers] CheckboxCellEditor flips state when tabing from cell to cell,Medium
[Viewers] FocusCell and focused row not in sync,[Viewers] FocusCell and focused row not in sync,Medium
[Viewers] 3.4: FocusCell and focused row not in sync,[Viewers] 3.4: FocusCell and focused row not in sync,Medium
Editors do not respect operating system caret settings,Editors do not respect operating system caret settings,Medium
[Min/Max] View does not open when editor max'd,[Min/Max] View does not open when editor max'd,Medium
Dragging text to bad location in expressions view does not update cursor,Dragging text to bad location in expressions view does not update cursor,Low
Snippet 123 doesn't work on win32 x86_64,Snippet 123 doesn't work on win32 x86_64,Medium
[Viewers] JavaDoc DialogCellEditor updateLabel mistake,[Viewers] JavaDoc DialogCellEditor updateLabel mistake,Medium
TableItem.getBounds() wrong.,TableItem.getBounds() wrong.,Medium
Test with comment should be gray,Test with comment should be gray,High
runtimeArchive property not set for Intel macs,runtimeArchive property not set for Intel macs,Medium
org.eclipse.releng.tests BuildTests testVersionCompare,org.eclipse.releng.tests BuildTests testVersionCompare,Medium
Unable to open DefaultTextEditor on a FileStoreEditorInput when the filestore is non-local,Unable to open DefaultTextEditor on a FileStoreEditorInput when the filestore is non-local,Medium
Debug Core should use EMPTY_STRING constant,Debug Core should use EMPTY_STRING constant,Low
Custom 404 error page for a product's Help,Custom 404 error page for a product's Help,Medium
"Actions ""Open Debug Dialog..."" and ""Open Run Dialog..."" labelled incorrectly","Actions ""Open Debug Dialog..."" and ""Open Run Dialog..."" labelled incorrectly",Low
[Help] Can't include SVG in help documents,[Help] Can't include SVG in help documents,Medium
NPE in FilteredItemsSelectionDialog,NPE in FilteredItemsSelectionDialog,High
update 3.4 features so they don't use update.eclipse.org url,update 3.4 features so they don't use update.eclipse.org url,Medium
[PropertiesView] Setting 1 value causes very slow recursive refresh,[PropertiesView] Setting 1 value causes very slow recursive refresh,Medium
IOConsole Updater error with long output lines,IOConsole Updater error with long output lines,Medium
Text SWT.MULTI with backgroundimage don't show deleted characters,Text SWT.MULTI with backgroundimage don't show deleted characters,High
[Ant] NPE when setting defaultvalue attribute of the Ant Input task,[Ant] NPE when setting defaultvalue attribute of the Ant Input task,Medium
ant view - 'remove all buildfiles' doesn't,ant view - 'remove all buildfiles' doesn't,Medium
NPE removing invalid ant file from Ant view,NPE removing invalid ant file from Ant view,Medium
Java project from Ant wizard needs changes to label casing,Java project from Ant wizard needs changes to label casing,Low
javac problem markers not generated for compilers other than Eclipse,javac problem markers not generated for compilers other than Eclipse,Medium
Unwanted Scrollbar in Open Resource Dialog,Unwanted Scrollbar in Open Resource Dialog,Medium
Javadoc of ILaunchesListener should mention ILaunchesListener2,Javadoc of ILaunchesListener should mention ILaunchesListener2,Low
run debug tool tips hagged up.,run debug tool tips hagged up.,Medium
Basic Authentication of XMLHttpRequest crashes Eclipse,Basic Authentication of XMLHttpRequest crashes Eclipse,High
NPE in Canvas.kEventControlSetFocusPart(Canvas.java:150),NPE in Canvas.kEventControlSetFocusPart(Canvas.java:150),High
[Forms] ExpandableComposite increases Browser client's size increase on a re-layout,[Forms] ExpandableComposite increases Browser client's size increase on a re-layout,High
